moped_component_id,substantial_completion_date,pre_annualized_crash_rate,post_annualized_crash_rate,delta_crash_rate,pre_annualized_fatal_crash_rate,post_annualized_fatal_crash_rate,delta_fatal_crash_rate,pre_annualized_injury_rate,post_annualized_injury_rate,delta_injury_rate,pre_annualized_death_rate,post_annualized_death_rate,delta_death_rate,pre_annualized_cost,post_annualized_cost,delta_comp_cost
1426,2018-09-13 05:00:00+00:00,0.25082262725686,0.35139902188727656,0.10057639463041657,0.0,0.0,0.0,0.37623394088529,0.21962438867954784,-0.15660955220574216,0.0,0.0,0.0,100454.46221637244,82534.84526577407,-17919.61695059837
1428,2018-09-13 05:00:00+00:00,0.25082262725686,0.35139902188727656,0.10057639463041657,0.0,0.0,0.0,0.37623394088529,0.21962438867954784,-0.15660955220574216,0.0,0.0,0.0,100454.46221637244,82534.84526577407,-17919.61695059837
1429,2018-09-13 05:00:00+00:00,0.25082262725686,0.35139902188727656,0.10057639463041657,0.0,0.0,0.0,0.37623394088529,0.21962438867954784,-0.15660955220574216,0.0,0.0,0.0,100454.46221637244,82534.84526577407,-17919.61695059837
1432,2019-06-11 05:00:00+00:00,0.2540776410731462,0.41071096679507213,0.15663332572192595,0.0005608777948634574,0.005439880354901617,0.004879002560038159,0.23837306281696938,0.33183270164899864,0.09345963883202926,0.0005608777948634574,0.006799850443627022,0.006238972648763564,108515.27048341255,183810.8372519482,75295.56676853565
1433,2018-10-22 05:00:00+00:00,0.30199469459468775,0.18675301987686144,-0.11524167471782631,0.0,0.0,0.0,0.07549867364867194,0.18675301987686144,0.1112543462281895,0.0,0.0,0.0,40693.78509663417,53037.85764502865,12344.072548394477
1434,2050-01-01 06:00:00+00:00,0.03150268452034414,NA,NA,0.0,NA,NA,0.03150268452034414,NA,NA,0.0,NA,NA,7340.1254932401835,NA,NA
1436,2018-10-09 05:00:00+00:00,0.22576491191923354,0.22835855888712325,0.002593646967889718,0.0,0.0,0.0,0.4233092098485629,0.2664183187016438,-0.15689089114691912,0.0,0.0,0.0,173218.12867003193,85368.04126396957,-87850.08740606236
1437,2018-10-09 05:00:00+00:00,0.1849214583377282,0.23871341707741206,0.05379195873968387,0.0,0.0,0.0,0.2689766666730592,0.23871341707741206,-0.030263249595647135,0.0,0.0,0.0,96461.75708562584,79968.99472093304,-16492.762364692797
1438,2019-06-01 05:00:00+00:00,0.16880741011766065,0.37857914057438996,0.2097717304567293,0.0,0.0,0.0,0.0,0.37857914057438996,0.37857914057438996,0.0,0.0,0.0,8609.177916000694,107516.47592312675,98907.29800712605
1439,2019-05-01 05:00:00+00:00,0.21122382593190525,0.37164539788866746,0.1604215719567622,0.0,0.0,0.0,0.21122382593190525,0.0,-0.21122382593190525,0.0,0.0,0.0,92304.81193224259,37907.830584644085,-54396.98134759851
1441,2019-03-14 05:00:00+00:00,0.18595277995799833,0.29767928334204935,0.11172650338405102,0.0,0.0,0.0,0.06973229248424938,0.11907171333681973,0.049339420852570356,0.0,0.0,0.0,77681.77382745381,45961.68134801242,-31720.092479441395
1442,2019-03-14 05:00:00+00:00,0.3054674704672962,NA,NA,0.0,NA,NA,0.0,NA,NA,0.0,NA,NA,23368.261490748162,NA,NA
1443,2021-01-07 06:00:00+00:00,0.1940668585344255,0.5516121724684739,0.3575453139340484,0.016172238211202124,0.0,-0.016172238211202124,0.14555014390081913,0.7722570414558635,0.6267068975550444,0.016172238211202124,0.0,-0.016172238211202124,97809.69670135045,505276.74998112215,407467.0532797717
1444,2018-04-11 05:00:00+00:00,0.2025556300113224,0.6868291154117371,0.4842734854004147,0.0,0.0,0.0,0.0506389075028306,0.0,-0.0506389075028306,0.0,0.0,0.0,32459.539709314417,70056.56977199718,37597.03006268277
1445,2022-01-15 06:00:00+00:00,0.16142308648454548,0.8330084728907275,0.671585386406182,0.00045858831387654965,0.0,-0.00045858831387654965,0.10914401870261882,0.5036795417478818,0.39453552304526296,0.00045858831387654965,0.0,-0.00045858831387654965,51813.60064334196,187504.3955606826,135690.79491734065
1446,2022-04-30 05:00:00+00:00,0.16239154832453756,1.008772473377181,0.8463809250526435,0.0009695017810420154,0.0,-0.0009695017810420154,0.14397101448473928,0.8794426690980551,0.7354716546133159,0.0009695017810420154,0.0,-0.0009695017810420154,63196.00409544273,474640.38170439156,411444.37760894885
