moped_component_id,pre_completion,post_completion
693,107.0,332.0
694,66.0,99.0
695,1.0,1.0
696,30.0,7.0
697,1.0,1.0
698,57.0,21.0
699,25.0,19.0
700,11.0,29.0
701,1.0,1.0
702,1.0,1.0
703,133.0,3080.0
704,30.0,364.0
705,165.0,718.0
706,2.0,1.0
708,2.0,1.0
709,46.0,19.0
711,0.0,28.0
713,725.0,2297.0
714,155.0,498.0
715,408.0,1344.0
716,622.0,161.0
717,60.0,17.0
718,225.0,65.0
719,129.0,40.0
720,695.0,294.0
721,126.0,25.0
722,15.0,1.0
723,34.0,15.0
724,1258.0,521.0
725,3827.0,998.0
726,46.0,4.0
727,68.0,112.0
728,34.0,57.0
729,0.0,2.0
730,189.0,53.0
731,20.0,2.0
732,18.0,6.0
733,11.0,2.0
734,330.0,157.0
735,33.0,162.0
736,135.0,284.0
737,7.0,41.0
738,113.0,49.0
739,13.0,44.0
740,325.0,845.0
741,301.0,688.0
742,592.0,1446.0
743,23.0,84.0
744,13.0,51.0
745,140.0,370.0
746,8.0,10.0
747,9.0,37.0
748,72.0,305.0
750,35.0,64.0
751,15.0,69.0
752,2.0,7.0
753,64.0,150.0
754,16.0,64.0
755,9.0,16.0
756,58.0,334.0
757,99.0,25.0
758,2.0,0.0
760,1.0,2.0
761,1.0,0.0
762,30.0,49.0
763,59.0,35.0
764,11.0,11.0
765,614.0,1133.0
766,13.0,96.0
767,61.0,181.0
768,9.0,15.0
769,18.0,34.0
770,44.0,61.0
771,14.0,27.0
772,11.0,36.0
773,20.0,27.0
774,139.0,298.0
775,72.0,97.0
776,86.0,153.0
777,135.0,265.0
778,212.0,465.0
779,158.0,218.0
780,72.0,146.0
781,51.0,96.0
782,43.0,46.0
783,11.0,35.0
784,41.0,85.0
785,61.0,167.0
786,41.0,187.0
787,213.0,439.0
788,23.0,47.0
789,60.0,162.0
790,30.0,65.0
791,394.0,910.0
792,30.0,63.0
793,168.0,286.0
794,22.0,36.0
795,16.0,25.0
796,45.0,109.0
797,32.0,66.0
798,3.0,5.0
799,7.0,11.0
800,2.0,6.0
801,1.0,10.0
802,134.0,79.0
803,10.0,0.0
804,97.0,211.0
805,44.0,130.0
806,2.0,0.0
808,1.0,0.0
809,2.0,0.0
810,2.0,1.0
813,1.0,0.0
814,56.0,17.0
815,54.0,22.0
817,3.0,1.0
818,73.0,21.0
821,34.0,13.0
823,33.0,6.0
826,1.0,0.0
827,1.0,1.0
828,7.0,1.0
829,2.0,1.0
830,1.0,0.0
834,5.0,1.0
835,40.0,16.0
836,2.0,0.0
837,0.0,24.0
838,235.0,140.0
839,95.0,173.0
840,154.0,316.0
841,348.0,542.0
842,63.0,79.0
843,0.0,1.0
844,55.0,74.0
845,1.0,0.0
846,76.0,89.0
848,5.0,16.0
849,45.0,159.0
850,25.0,66.0
851,27.0,38.0
852,24.0,39.0
853,233.0,425.0
854,48.0,85.0
855,175.0,461.0
856,97.0,178.0
857,193.0,7.0
858,26.0,62.0
862,11.0,7.0
863,86.0,18.0
866,503.0,563.0
867,18.0,14.0
868,503.0,563.0
869,1036.0,1262.0
870,1036.0,1261.0
871,4.0,40.0
872,19.0,112.0
873,1.0,2.0
874,1.0,0.0
875,1.0,0.0
876,1.0,1.0
878,99.0,39.0
879,2.0,0.0
880,6.0,18.0
881,45.0,77.0
882,49.0,80.0
884,1.0,5.0
885,61.0,54.0
886,47.0,56.0
887,3.0,9.0
888,1.0,0.0
889,1.0,0.0
891,38.0,0.0
893,1.0,0.0
894,44.0,19.0
895,7.0,2.0
896,45.0,19.0
897,0.0,2.0
899,1.0,0.0
900,1.0,0.0
903,1.0,0.0
904,4.0,0.0
905,1.0,2.0
906,3.0,1.0
907,147.0,239.0
908,98.0,136.0
909,0.0,12.0
910,111.0,208.0
911,116.0,112.0
912,41.0,89.0
914,21.0,32.0
915,29.0,36.0
916,265.0,141.0
917,27.0,25.0
918,112.0,133.0
919,35.0,50.0
920,207.0,322.0
921,111.0,201.0
923,80.0,75.0
924,129.0,191.0
925,13.0,20.0
926,51.0,94.0
927,101.0,140.0
928,97.0,84.0
929,129.0,173.0
930,39.0,69.0
931,3.0,5.0
932,1.0,0.0
933,9.0,5.0
934,86.0,72.0
935,42.0,76.0
936,321.0,103.0
937,8.0,2.0
938,1.0,0.0
939,2.0,0.0
940,2.0,1.0
942,3.0,0.0
943,7.0,23.0
944,63.0,155.0
945,972.0,230.0
946,8.0,90.0
947,0.0,1.0
948,1.0,2.0
949,38.0,35.0
950,2.0,7.0
951,2.0,0.0
952,2.0,6.0
953,15.0,26.0
954,23.0,37.0
955,18.0,19.0
956,399.0,719.0
957,91.0,36.0
958,4.0,5.0
959,0.0,14.0
960,12.0,13.0
961,10.0,12.0
964,1.0,6.0
967,0.0,13.0
968,7.0,9.0
969,0.0,1.0
970,0.0,1.0
971,46.0,94.0
972,1.0,11.0
973,21.0,4.0
974,8.0,21.0
975,0.0,350.0
976,70.0,70.0
977,14.0,36.0
978,230.0,33.0
979,243.0,41.0
980,2.0,0.0
981,250.0,426.0
982,365.0,51.0
983,741.0,107.0
984,578.0,66.0
985,7.0,9.0
986,23.0,39.0
987,7.0,9.0
988,34.0,26.0
989,20.0,19.0
990,52.0,36.0
991,5.0,4.0
992,7.0,25.0
993,1.0,0.0
994,67.0,138.0
995,14.0,24.0
996,390.0,560.0
997,16.0,30.0
998,19.0,6.0
999,18.0,8.0
1000,17.0,8.0
1001,32.0,47.0
1002,352.0,188.0
1003,80.0,18.0
1004,310.0,177.0
1005,554.0,349.0
1006,343.0,169.0
1007,7.0,6.0
1008,74.0,110.0
1009,2.0,1.0
1011,104.0,120.0
1012,0.0,1.0
1013,133.0,154.0
1016,72.0,63.0
1017,77.0,136.0
1018,46.0,51.0
1019,1.0,0.0
1020,60.0,63.0
1021,10.0,5.0
1022,14.0,14.0
1023,171.0,148.0
1024,21.0,39.0
1025,12.0,7.0
1026,54.0,35.0
1027,44.0,48.0
1028,2.0,0.0
1029,61.0,33.0
1030,12.0,11.0
1031,336.0,321.0
1032,185.0,235.0
1033,25.0,28.0
1034,41.0,62.0
1035,2521.0,736.0
1036,2467.0,715.0
1037,1882.0,479.0
1038,1957.0,516.0
1039,362.0,257.0
1040,39.0,21.0
1041,79.0,29.0
1042,5.0,2.0
1043,13.0,32.0
1044,12.0,17.0
1045,41.0,22.0
1046,438.0,338.0
1047,3.0,4.0
1048,198.0,49.0
1049,116.0,94.0
1050,143.0,227.0
1051,3.0,0.0
1053,3.0,0.0
1054,3.0,0.0
1056,2.0,0.0
1057,123.0,26.0
1058,2.0,0.0
1059,126.0,141.0
1060,11.0,2.0
1062,38.0,35.0
1063,92.0,143.0
1065,1.0,0.0
1066,3.0,0.0
1067,2.0,0.0
1068,333.0,132.0
1069,1.0,0.0
1070,2.0,0.0
1071,2.0,0.0
1072,51.0,61.0
1073,223.0,148.0
1074,368.0,53.0
1075,1.0,1.0
1076,881.0,181.0
1077,763.0,149.0
1078,808.0,89.0
1079,1630.0,411.0
1080,1720.0,189.0
1081,4291.0,490.0
1082,324.0,50.0
1083,7.0,11.0
1084,5.0,2.0
1085,79.0,48.0
1086,60.0,37.0
1087,104.0,44.0
1088,199.0,111.0
1089,78.0,6.0
1090,86.0,110.0
1091,263.0,79.0
1092,3.0,3.0
1093,83.0,33.0
1094,104.0,8.0
1095,15.0,12.0
1096,622.0,517.0
1097,79.0,59.0
1098,21.0,36.0
1099,2.0,4.0
1100,46.0,38.0
1101,64.0,21.0
1102,62.0,23.0
1103,1.0,1.0
1104,104.0,71.0
1105,16.0,12.0
1106,76.0,64.0
1107,24.0,27.0
1108,1.0,0.0
1109,9.0,4.0
1110,60.0,53.0
1111,2.0,1.0
1112,0.0,1.0
1113,35.0,17.0
1115,39.0,22.0
1116,40.0,24.0
1117,42.0,34.0
1118,186.0,209.0
1119,52.0,50.0
